                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93705,                 1.0152,                 1.0173,                0.43939,                0.87759,                 0.4661,                0.33934,                 1.0154,                 1.1752,                 1.0533,              0.0011059,              0.0011059,              0.0011059
                     36,                0.95268,                0.98861,                 1.0255,                0.41686,                0.87785,                0.44576,                0.30269,                 1.0091,                 1.3406,                 1.0554,              0.0010894,              0.0010894,              0.0010894
                     37,                  0.941,                0.98913,                  1.016,                0.44423,                0.84353,                0.49677,                0.35772,                0.93626,                 1.2619,                 1.0229,              0.0010729,              0.0010729,              0.0010729
                     38,                0.92078,                0.98058,                 1.0023,                0.47014,                0.83506,                0.54794,                 0.4039,                0.98561,                 1.0917,                 1.0225,              0.0010564,              0.0010564,              0.0010564
                     39,                0.92362,                0.95227,                 1.0081,                0.44387,                0.83887,                0.48002,                0.34534,                0.97016,                 1.3232,                 1.0457,              0.0010399,              0.0010399,              0.0010399
                     40,                 0.9306,                0.93575,                 1.0023,                0.40768,                0.79269,                0.44363,                0.30716,                  1.008,                 1.5511,                 1.0543,              0.0010234,              0.0010234,              0.0010234
                     41,                0.94338,                 0.9561,                 1.0151,                0.40508,                0.80182,                0.43892,                0.30974,                 1.0211,                 1.6937,                 1.0799,              0.0010069,              0.0010069,              0.0010069
                     42,                0.92476,                0.95274,                 1.0054,                 0.4159,                0.82915,                0.43265,                0.30881,                0.98569,                 1.2821,                 1.0379,             0.00099036,             0.00099036,             0.00099036
                     43,                0.94037,                0.91066,                 1.0165,                0.42281,                0.83091,                0.46058,                0.32844,                   1.03,                 1.5284,                 1.0717,             0.00097386,             0.00097386,             0.00097386
                     44,                0.88878,                0.89141,                0.98137,                0.39857,                 0.8049,                0.43312,                0.30511,                  1.007,                 1.5081,                 1.0796,             0.00095736,             0.00095736,             0.00095736
                     45,                0.87643,                0.89491,                0.98572,                 0.4368,                0.78619,                0.49744,                0.35035,                0.99371,                 1.3159,                 1.0459,             0.00094085,             0.00094085,             0.00094085
                     46,                0.87283,                0.89891,                0.98126,                0.44183,                0.82714,                0.45077,                0.32809,                0.97845,                 1.2577,                 1.0439,             0.00092435,             0.00092435,             0.00092435
                     47,                0.88351,                0.87716,                0.98757,                0.41477,                 0.8521,                0.47679,                0.33801,                0.98416,                  1.271,                 1.0372,             0.00090785,             0.00090785,             0.00090785
                     48,                  0.874,                0.84826,                0.98272,                0.44421,                0.81814,                0.46395,                0.33553,                0.97317,                 1.2695,                 1.0289,             0.00089134,             0.00089134,             0.00089134
                     49,                0.86887,                0.83116,                0.98499,                0.41519,                0.83266,                0.46937,                0.32843,                0.98963,                 1.2901,                 1.0364,             0.00087484,             0.00087484,             0.00087484
                     50,                0.86749,                0.80148,                0.98392,                0.41308,                0.81621,                0.46874,                0.33519,                0.99341,                  1.446,                 1.0486,             0.00085834,             0.00085834,             0.00085834
                     51,                0.89908,                0.87181,                 1.0011,                0.43141,                0.82126,                0.51498,                0.36924,                 1.0465,                 1.4534,                 1.0733,             0.00084184,             0.00084184,             0.00084184
                     52,                0.86926,                0.85247,                0.98751,                0.44711,                0.79217,                0.53867,                0.39054,                 1.0007,                  1.369,                 1.0439,             0.00082533,             0.00082533,             0.00082533
                     53,                0.86182,                0.82706,                0.97608,                0.43275,                0.83284,                0.47439,                0.33872,                 0.9893,                 1.2601,                 1.0415,             0.00080883,             0.00080883,             0.00080883
                     54,                0.86004,                 0.7739,                0.97969,                0.42699,                0.84215,                0.48999,                0.36838,                 0.9332,                  1.285,                 1.0147,             0.00079233,             0.00079233,             0.00079233
                     55,                0.83475,                0.78871,                0.96341,                 0.4144,                0.74373,                0.46603,                0.33927,                 1.0299,                 1.7137,                 1.0714,             0.00077582,             0.00077582,             0.00077582
                     56,                0.85746,                0.82046,                 0.9733,                0.45764,                0.67148,                0.45957,                0.31822,                0.99791,                 1.3396,                  1.042,             0.00075932,             0.00075932,             0.00075932
                     57,                0.83563,                0.76725,                0.96511,                0.41761,                0.67287,                0.41828,                0.29811,                0.99046,                 1.6037,                 1.0398,             0.00074282,             0.00074282,             0.00074282
                     58,                0.84688,                0.71881,                0.96718,                0.43087,                0.81016,                0.48791,                0.36135,                0.94366,                 1.4046,                 1.0227,             0.00072631,             0.00072631,             0.00072631
                     59,                0.85202,                0.73607,                0.97297,                0.41107,                 0.7872,                0.41919,                0.31177,                0.95164,                 1.5312,                 1.0131,             0.00070981,             0.00070981,             0.00070981
                     60,                0.84155,                0.72734,                0.96759,                0.37876,                0.70908,                 0.4143,                0.29675,                0.99694,                 1.8819,                 1.0299,             0.00069331,             0.00069331,             0.00069331
                     61,                0.87445,                0.75952,                0.97961,                0.42071,                0.79901,                0.46534,                0.33377,                0.99116,                 1.4195,                  1.047,              0.0006768,              0.0006768,              0.0006768
